user_name,user_location,user_description,user_followers,user_friends,user_favourites,user_verified,text,hashtags,source,is_retweet,date_only
#XtinGer / Crypto & Stocks Trading â€¼ï¸â€¼ï¸â€¼ï¸,,Chart Market Technical Trading Analysis using our own Indicator #XtinGer / Not Financial Advices,120,195,1878,False,"#Breaking ðŸ¦‚ More content coming.

$AMC / Stocks Analysis Chart Trading

#AMC  â€¼ï¸â€¼ï¸â€¼ï¸

$BTC #Bitcoinâ€¯â€¯â€¯â€¯ #AMCUSD
#Nft #Airdrops  #Giveaways #Pumping #Luxury #Investing #Entrepreneur #Succes #Bussines Earn #Money

Chart powered by our own indicator #XtinGer ðŸ¦‚ https://t.co/U09CvWBU1h","['Breaking', 'AMC', 'Bitcoin', 'AMCUSD', 'Nft', 'Airdrops', 'Giveaways', 'Pumping', 'Luxury', 'Investing', 'Entrepreneur', 'Succes', 'Bussines', 'Money', 'XtinGer']",Twitter for Android,False,2024-10-28
kannabis,,Mr JOE,0,1,0,False,binance 1 #bitcoin; (the rest half in #eth and half stays in #bnb),"['bitcoin', 'eth', 'bnb']",Twitter Web App,False,2024-10-09
crypto_class,,Crypto news,25,150,386,False,Global payments giant Blackhawk will offer #Bitcoinâ€¯â€¯â€¯ gift cards at U.S. retailers!,['Bitcoin'],Twitter for Android,False,2024-07-15
Sergio,coin hunt world,"professional coin hunt world player

-living with autism-",185,76,13134,False,"c03x found #bitcoin in a User vault at this location! Join me playing #coinhuntworld, It's awesome! https://t.co/a37s2OfkQa #cryptocurrency #8217 https://t.co/0T0QTBz4cz","['bitcoin', 'coinhuntworld', 'cryptocurrency']",Twitter for Android,False,2024-06-24
Ethereum Yoda,,"UP or DOWN...
.
.
.
.
Price matters NOT.",576,1,0,False,"#Ethereum price update: 

#ETH $1664.25 USD
#Bitcoin 0.07043167 #BTC

Follow for recent ETH price updates
#altcoin, #cryptocurrency, #crypto","['Ethereum', 'ETH', 'Bitcoin', 'BTC', 'altcoin', 'cryptocurrency', 'crypto']",Twitter Web App,False,2024-07-10
Beekeyyy Click/Clack ðŸ–±ï¸,"Philadelphia, PA","2015 SHA-256 Miner | | ðŸ‘ï¸ share $btc Technical Analysis, Part-time Trader and #Bitcoin Content Creator. https://t.co/xS693ytVmj (Targeted Individual) #Blockchain #XboxðŸŽ®",1692,118,14252,False,"This made me giggle because.... The U.S. doesn't have to do shit. ðŸ¤£ðŸ¤£

We as U.S. citizens have a choice to join the battle and go to war.... so umm... yeah.
#Bitcoin #BTC #Freedom #UnitedStates #NoWar https://t.co/MFsHAmu52t","['Bitcoin', 'BTC', 'Freedom', 'UnitedStates', 'NoWar']",Twitter Web App,False,2024-02-20
Data Metrics UG,,"Forecasting and analysis models with artificial intelligence for all major cryptocurrency metrics and trading signals.
Web: https://t.co/Ab0F4RF0TU | https://t.co/btgqITXxLC",11489,214,468,False,ðŸ’° Market Cap. Swap ðŸ’° What would one #Maiar-dex $MEX cost if it had the market capitalization of #Bitcoin $BTC? One #MEX would be worth $0.1381. ðŸ¤‘ ðŸ’ª ðŸš€ | ðŸ‘ï¸  More: https://t.co/iLdJQXVIOt https://t.co/836QimeBTe,"['Maiar', 'Bitcoin', 'MEX']",CoinforecastTwitterTweeter,False,2024-06-03
kenneth wolf,,,112,27,9,False,Women excluded from the crypto world - again. Figures why there is more focus on #Bitcoin than anything else...#crypto # BlockchainGenderGap,"['Bitcoin', 'crypto']",Twitter Web App,False,2024-07-08
Mr. Satoshi,United States,Shop premium #Bitcoin apparel. Only made from high quality materials & shipped from the US ðŸ‡ºðŸ‡¸ Receive up to 100K Sats back instantly on every purchase âš¡ï¸,967,2,1802,False,How often do you buy #Bitcoin?,['Bitcoin'],Twitter for iPhone,False,2024-07-01
tictoknextblock,,Real-time bitcoin  insights,284,17,2,False,"ðŸŸ© Block 778891 â› â›

ðŸ“… 1st Mar 2023, 23:52:15 GMT

ðŸ“£ 2,933 tx with a value of 4,346.521 â‚¿ ($102.84m ðŸ‡ºðŸ‡¸)

ðŸ“£ distributed to 9,586 recipients ðŸ’ŽðŸ™Œ

ðŸ“£ 19,305,575.00 â‚¿ (91.93131%) mined â›

ðŸ“£ 1,694,425.00 â‚¿ remaining ðŸ’°

#bitcoin #tictoknextblock","['bitcoin', 'tictoknextblock']",tictoknextblock,False,2024-05-18
ðŸ¤– EconSnapped,,"Your economic update.  Hourly.

ðŸ’° Asset - Price - Todays Change",82,1,0,False,"ðŸ’° #SP500    3,951.39 ðŸ“‰ -0.47%
ðŸšœ #DJIA    32,661.84 ðŸ“ˆ 0.02%
âŒ› 10 Yr T    3.99 ðŸ“ˆ 1.35%
ðŸ’µ USD/EUR    0.94 ðŸ“‰ -0.85%
ðŸ¥‡ #Gold    1,843.95 ðŸ“ˆ 0.58%
ðŸ›¢ #CrudeOil    77.64 ðŸ“ˆ 1.27%
ðŸ’¸ #Bitcoin    23,621.20 ðŸ“ˆ 2.02%","['SP500', 'DJIA', 'Gold', 'CrudeOil', 'Bitcoin']",EconSnapshot,False,2024-10-06
Ethereum Yoda,,"UP or DOWN...
.
.
.
.
Price matters NOT.",576,1,0,False,"#Ethereum price update: 

#ETH $1665.02 USD
#Bitcoin 0.07038613836691748 #BTC

Follow for recent ETH price updates
#altcoin, #cryptocurrency, #crypto","['Ethereum', 'ETH', 'Bitcoin', 'BTC', 'altcoin', 'cryptocurrency', 'crypto']",Twitter Web App,False,2024-05-20
BNB Price Tracker,,#BNB #BNBTracker #BinanceCoin #Binance,492,5,0,False,"#BinanceCoin price update: $BNB

#BNB $302.85 USD

#Bitcoin 0.0128 BTC

#Ethereum 0.18189 ETH

#altcoin #crypto #cryptocurrency

Follow for recent BNB price updates","['BinanceCoin', 'BNB', 'Bitcoin', 'Ethereum', 'altcoin', 'crypto', 'cryptocurrency']",Twitter Web App,False,2024-07-23
Yoloking of $TSLAQ,Seongapdo,"Options degen
$TSLAQ convert, tracking the madness of #ElonQ and his lemmings
Certified QE Conspiracist by @neelkashkari
I shitpost a lot. NO INVESTMENT ADVICE.",2671,479,33608,False,"@SlopeOfHope But #Bitcoin fixes this, right?",['Bitcoin'],Twitter for Android,False,2024-10-17
Q,United Kingdom,"Saitama/SaitaRealty Holder.
MaziMatic NFT Holder, Referral Code: maziarmyLeSRBRb9uj",3378,4710,59714,False,"#Saitama #SaitamaWolfPack #SaitaPro
#Crypto #CryptoCurrency #SaitaWolves #ETH #Bitcoin #PaperVillage
#SaitamaToken
#BESUMMIT #SaitaRealty #SAITAMACOMMUNITY #SaitamaLLC #MetaVerse #WeAreSaitama

#UseSaitaPro #NFT #NFTs #NFTCommunity #SaitaCard

ðŸ’œðŸºðŸ’œWOLFðŸºPACKðŸ’œðŸºðŸ’œ https://t.co/ck2A73F9t4","['Saitama', 'SaitamaWolfPack', 'SaitaPro', 'Crypto', 'CryptoCurrency', 'SaitaWolves', 'ETH', 'Bitcoin', 'PaperVillage', 'SaitamaToken', 'BESUMMIT', 'SaitaRealty', 'SAITAMACOMMUNITY', 'SaitamaLLC', 'MetaVerse', 'WeAreSaitama', 'UseSaitaPro', 'NFT', 'NFTs', 'NFTCommunity', 'SaitaCard']",Twitter for Android,False,2024-05-18
Samurai21 â™Ÿï¸,"Melbourne, Australia",Market analyst ðŸ’» Dynamic Futures Trader ðŸ‘¨ðŸ½â€ðŸ’» My fingers are always on the pulseâ€¦. #Bitcoin Standard.,28,47,54,False,"@GarethSoloway Ethereum is so strong Gareth . The bears are slowly and steadily losing there grip ðŸ»âŒ.
#Bitcoin",['Bitcoin'],Twitter for iPhone,False,2024-09-01
Lostdog ðŸ»,Cypherspace,The source of all our wealth are functional ecosystems. Enviromaximalist - ðŸŒ¿ #Bitcoin âš¡,636,2174,56157,False,"@BobMcElrath The author Amy Castor has been a #bitcoin critic for many years. At this point it's just dishonesty, with references to Gerard, de Vries, etc. which have been debunked a million times, while ignoring all the documents evidence that contradicts her opinion",['bitcoin'],Twitter for Android,False,2024-08-22
Suhan Ahmad,Riri ðŸŒ»,ahaðŸ°,0,1,0,False,So BlockFi files for Chapter 11 bankruptcy and #Bitcoin  price isn't moving?Nice!,['Bitcoin'],Twitter Web App,False,2024-07-18
GallantCEO News,United Kingdom,News â€¢ People â€¢ Interviews,13852,20,36455,False,"Number of Bitcoin Wallets With At Least 1 BTC Could Soon Hit a Million â€“ How Could That Impact the BTC Price?

#Cryptocurrency #Bitcoin #BTC #hit

https://t.co/hVEHhRUKIH","['Cryptocurrency', 'Bitcoin', 'BTC', 'hit']",Pabbly Connect,False,2024-04-01
Crypto is the future,LiaSuppanad,ðŸ’¥alpercorekci.eth,1,1,0,False,Buy some crypto today ðŸ‘€ðŸ¥¸ #xrp #ETH #FLR #apt #Bitcoin the United States of America is joining the crypto market ;),"['xrp', 'ETH', 'FLR', 'apt', 'Bitcoin']",Twitter Web App,False,2024-07-09
#TradingAllInâ„¢ PoorsGuide.com by #maninthedot,Blocknode & Wall St.,#TradingAllInâ„¢ @PoorsGuide's Human Curated News #Web3 #Stocks #SPACs #NFTs #Metaverse #IPOs #GameFi #FinTech #ETFs #DeFi #DAOs #Crypto #Blockchain by:@MichDe.â“‚,2010,1406,21576,False,".@Jack Dorseyâ€™s Block Releases UI Teaser, Seeks Partners For Highly Anticipated Self-Custody #BitcoinWallet https://t.co/LNvWRkcjHQ via @BtcCasey $BTC @BitcoinMagazine #Bitcoin","['BitcoinWallet', 'Bitcoin']",Twitter Web App,False,2024-08-05
Ethereum Yoda,,"UP or DOWN...
.
.
.
.
Price matters NOT.",576,1,0,False,"#Ethereum price update: 

#ETH $1663.96 USD
#Bitcoin 0.07042005 #BTC

Follow for recent ETH price updates
#altcoin, #cryptocurrency, #crypto","['Ethereum', 'ETH', 'Bitcoin', 'BTC', 'altcoin', 'cryptocurrency', 'crypto']",Twitter Web App,False,2024-04-04
oussama clay,MAROC ,"Founder 
https://t.co/ChgJKSh6bk
creating timeless identities 
visual and brand identity designer",23,67,564,False,"BULLish on 
@BitcoinBullsNFT @ordinalswallet @ordswapbot @ordswap 
     #Ordinalsnft #Bitcoin #NFT #ordinals #OrdinalNFTs #BTCNFT #bull 
@BitcoinBullsNFT https://t.co/R57EuaGrPw","['Ordinalsnft', 'Bitcoin', 'NFT', 'ordinals', 'OrdinalNFTs', 'BTCNFT', 'bull']",Twitter Web App,False,2024-05-03
Bitcoin Price Ticker,,Tweets the current price of #bitcoin every 5 minutes,122,9,9,False,"1â‚¿ = $23642 2.10%ðŸ“ˆ

Details:
Change: ðŸ“ˆ486.23$
24H Low = $23079ðŸ”»
24H High = $23884ðŸ’¹

#bitcoin #btc","['bitcoin', 'btc']",BitcoinLivePriceTicker,False,2024-09-09
Ogunleye Femi,"Lagos, Nigeria",".......Cooking......
         ðŸ’™â¤ï¸",196,444,5068,False,"GM @QuaiNetwork and community. A gentle reminder that we are still super-bullish on $Quai

@_QuaiNigeria #Secure #Scalable #Crypto #Quai #QuaiNetwork #QuaiDevs #EVM #blockchain #Web3 #Bitcoin #Decentralization #Crypto #trilemma","['Secure', 'Scalable', 'Crypto', 'Quai', 'QuaiNetwork', 'QuaiDevs', 'EVM', 'blockchain', 'Web3', 'Bitcoin', 'Decentralization', 'Crypto', 'trilemma']",Twitter Web App,False,2024-03-29
Trader Jet Telegram Bot,,"The best assistant for #scalping on #Binance with more than 15 modules and #autotrading #ai system.

Have #RU and #EN versions!

Join for free 3 days trial ðŸ‘‡",907,14,300,False,"â¬‡ï¸ SELL $GMX | 1h | #Binance
CCI: 205

 Join our bot for more signals (in bio)!
25 #ai #cci #signal #BUSD #crypto #finance #altcoins #binance #bitcoin #btc #GMX https://t.co/rSbmSXzahP","['Binance', 'ai', 'cci', 'signal', 'BUSD', 'crypto', 'finance', 'altcoins', 'binance', 'bitcoin', 'btc', 'GMX']",TwitterLikeRt_Nik,False,2024-09-02
DoDo.BTC,"Manhattan, NY",Bitcoin Whales|Bitcoin Trader| Not financial advice,125,604,212,False,"#Bitcoin fell to $4,000 in 2020, but rose to nearly $30,000 by the end of the year.

Don't Underestimate the #BTC Halving

Expect the Fed to cut interest rates","['Bitcoin', 'BTC']",Twitter for iPhone,False,2024-07-30
DataPool,,"A Club For Artificial Intelligence ðŸ§®
Tell us which data you needðŸ“Š
Contact for Twitter InsightsðŸ¦",3882,269,163,False,"Xrp Twitter Insight Words 

Last 7 Days
#btc #bitcoin #cryptocurrency
More Detail
ðŸ‘‰https://t.co/dOF4NwWgLi https://t.co/VEeHorem5L","['btc', 'bitcoin', 'cryptocurrency']",datapool.app,False,2024-02-10
Q,United Kingdom,"Saitama/SaitaRealty Holder.
MaziMatic NFT Holder, Referral Code: maziarmyLeSRBRb9uj",3378,4710,59714,False,"#Saitama #SaitamaWolfPack #SaitaPro
#Crypto #CryptoCurrency #SaitaWolves #ETH #Bitcoin #PaperVillage
#SaitamaToken
#BESUMMIT #SaitaRealty #SAITAMACOMMUNITY #SaitamaLLC #MetaVerse #WeAreSaitama

#UseSaitaPro #NFT #NFTs #NFTCommunity #SaitaCard

ðŸ’œðŸºðŸ’œWOLFðŸºPACKðŸ’œðŸºðŸ’œ https://t.co/l2l7MIzmyW","['Saitama', 'SaitamaWolfPack', 'SaitaPro', 'Crypto', 'CryptoCurrency', 'SaitaWolves', 'ETH', 'Bitcoin', 'PaperVillage', 'SaitamaToken', 'BESUMMIT', 'SaitaRealty', 'SAITAMACOMMUNITY', 'SaitamaLLC', 'MetaVerse', 'WeAreSaitama', 'UseSaitaPro', 'NFT', 'NFTs', 'NFTCommunity', 'SaitaCard']",Twitter for Android,False,2024-03-08
Wee Blue Ghost,,I'm a wee blue ghost haunting Twitter with Bitcoin price and Naks equivalents and Hex too!,434,81,81,False,"- 
BTC price: $23,670 / Â£19,778 

42.25 Naks per USD
50.56 Naks per GBP

A #Nak is a millionth of a #Bitcoin. 
A #Sat is one hundred millionth.  
If a Sat is a cent, a Nak is a dollar! 
#Bitcoinprice 

01/03/2023  23:50:49 GMT https://t.co/TifT9WUTMK","['Nak', 'Bitcoin', 'Sat', 'Bitcoinprice']",weeblueghost,False,2024-06-18
âš¡ Mr. Crypto GiantsðŸ‹,"Dubai, United Arab Emirates","ðŸ’¥Follow if you want to be in crypto knowledge heaven!!!ðŸ”¥ðŸ¤‘ðŸ’¸ðŸ’µ

https://t.co/peAB3PEIhx",763,0,2,False,"ðŸš¨ #Crypto Bank Charter Firm Protego Trust Lays Off Most of Its Workforce: Source
#Bitcoin","['Crypto', 'Bitcoin']",CryptoGiants_,False,2024-05-17
Ethereum Yoda,,"UP or DOWN...
.
.
.
.
Price matters NOT.",576,1,0,False,"#Ethereum price update: 

#ETH $1665.06 USD
#Bitcoin 0.07034298680345526 #BTC

Follow for recent ETH price updates
#altcoin, #cryptocurrency, #crypto","['Ethereum', 'ETH', 'Bitcoin', 'BTC', 'altcoin', 'cryptocurrency', 'crypto']",Twitter Web App,False,2024-08-15
BNB Price Tracker,,#BNB #BNBTracker #BinanceCoin #Binance,492,5,0,False,"#BinanceCoin price update: $BNB

#BNB $302.85 USD

#Bitcoin 0.01279 BTC

#Ethereum 0.18189 ETH

#altcoin #crypto #cryptocurrency

Follow for recent BNB price updates","['BinanceCoin', 'BNB', 'Bitcoin', 'Ethereum', 'altcoin', 'crypto', 'cryptocurrency']",Twitter Web App,False,2024-09-05
Q,United Kingdom,"Saitama/SaitaRealty Holder.
MaziMatic NFT Holder, Referral Code: maziarmyLeSRBRb9uj",3378,4710,59714,False,"#Saitama #SaitamaWolfPack #SaitaPro
#Crypto #CryptoCurrency #SaitaWolves #ETH #Bitcoin #PaperVillage
#SaitamaToken
#BESUMMIT #SaitaRealty #SAITAMACOMMUNITY #SaitamaLLC #MetaVerse #WeAreSaitama

#UseSaitaPro #NFT #NFTs #NFTCommunity #SaitaCard

ðŸ’œðŸºðŸ’œWOLFðŸºPACKðŸ’œðŸºðŸ’œ https://t.co/xY7LxS10g3","['Saitama', 'SaitamaWolfPack', 'SaitaPro', 'Crypto', 'CryptoCurrency', 'SaitaWolves', 'ETH', 'Bitcoin', 'PaperVillage', 'SaitamaToken', 'BESUMMIT', 'SaitaRealty', 'SAITAMACOMMUNITY', 'SaitamaLLC', 'MetaVerse', 'WeAreSaitama', 'UseSaitaPro', 'NFT', 'NFTs', 'NFTCommunity', 'SaitaCard']",Twitter for Android,False,2024-12-18
Q,United Kingdom,"Saitama/SaitaRealty Holder.
MaziMatic NFT Holder, Referral Code: maziarmyLeSRBRb9uj",3378,4710,59714,False,"#Saitama #SaitamaWolfPack #SaitaPro
#Crypto #CryptoCurrency #SaitaWolves #ETH #Bitcoin #PaperVillage
#SaitamaToken
#BESUMMIT #SaitaRealty #SAITAMACOMMUNITY #SaitamaLLC #MetaVerse #WeAreSaitama

#UseSaitaPro #NFT #NFTs #NFTCommunity #SaitaCard

ðŸ’œðŸºðŸ’œWOLFðŸºPACKðŸ’œðŸºðŸ’œ https://t.co/iiRZb4h134","['Saitama', 'SaitamaWolfPack', 'SaitaPro', 'Crypto', 'CryptoCurrency', 'SaitaWolves', 'ETH', 'Bitcoin', 'PaperVillage', 'SaitamaToken', 'BESUMMIT', 'SaitaRealty', 'SAITAMACOMMUNITY', 'SaitamaLLC', 'MetaVerse', 'WeAreSaitama', 'UseSaitaPro', 'NFT', 'NFTs', 'NFTCommunity', 'SaitaCard']",Twitter for Android,False,2024-02-08
Ezcsakcrypto,,"Engineer by day, Crypto Trader by night. But don't ask me for financial advice, I'm Hungarian.",88,192,8148,False,"#REN long closed 78.82% profit
#NEO short closed 20.27% profit

#btc #Crypto #bitcoin #cryptocurrencies #cryptotrading https://t.co/7MkXwXpq3r","['REN', 'NEO', 'btc', 'Crypto', 'bitcoin', 'cryptocurrencies', 'cryptotrading']",Twitter for Android,False,2024-06-04
Rikka,Karawang,Sing song,56,78,197,False,"crypto grup @stellarsandbox $XLM
#Crypto 
#Bitcoin 
#stellar
#lobstr","['Crypto', 'Bitcoin', 'stellar', 'lobstr']",Twitter for Android,False,2024-11-25
Jimbo | 444,,CNFTs | BTCNFTs,411,498,5492,False,@cryptorecruitr #bitcoin meets Cardano. https://t.co/TjDOBALfgj,['bitcoin'],Twitter for iPhone,False,2024-05-03
Whales Radar,Ä°stanbul,"https://t.co/oZVtGZzi5n

Crypto Whale Radar and Scanner

#Crypto #Bitcoin #Cryptocurrency #RastGele

Whales Radar is brand of @FxCanli",2779,1,2,False,"#XNOUSDT #XNO 
Signal #5  

Last Signal: 9 mins ago 
Before: 0.90900000 
After: 0.90500000 ðŸ”´(-0.44%) 
Volume Chng: 53,848 USDT (12.74%) 

Daily  
Price Chng: (1.80%)ðŸŸ¢ 
Volume: 476,424 USDT 

ðŸš€PRO âž¡ï¸ https://t.co/1EgdzYf2ot ðŸ³

#Crypto #Bitcoin #BTC #ETH","['XNOUSDT', 'XNO', 'Crypto', 'Bitcoin', 'BTC', 'ETH']",MT4 to Twitter,False,2024-07-31
Q,United Kingdom,"Saitama/SaitaRealty Holder.
MaziMatic NFT Holder, Referral Code: maziarmyLeSRBRb9uj",3378,4710,59714,False,"#Saitama #SaitamaWolfPack #SaitaPro
#Crypto #CryptoCurrency #SaitaWolves #ETH #Bitcoin #PaperVillage
#SaitamaToken
#BESUMMIT #SaitaRealty #SAITAMACOMMUNITY #SaitamaLLC #MetaVerse #WeAreSaitama

#UseSaitaPro #NFT #NFTs #NFTCommunity #SaitaCard

ðŸ’œðŸºðŸ’œWOLFðŸºPACKðŸ’œðŸºðŸ’œ https://t.co/GYDBpmcAZ0","['Saitama', 'SaitamaWolfPack', 'SaitaPro', 'Crypto', 'CryptoCurrency', 'SaitaWolves', 'ETH', 'Bitcoin', 'PaperVillage', 'SaitamaToken', 'BESUMMIT', 'SaitaRealty', 'SAITAMACOMMUNITY', 'SaitamaLLC', 'MetaVerse', 'WeAreSaitama', 'UseSaitaPro', 'NFT', 'NFTs', 'NFTCommunity', 'SaitaCard']",Twitter for Android,False,2024-07-27
CRYPTO ANALYTICS,UKRAINE,"The best #BTC & #Crypto market analysis. 
I take pride in creating beautiful, unbiased #Cryptocurrency charts that everyone can understand... Don't be misled!",227,84,1038,False,"âš ï¸ #BTC CAUTION! âš ï¸
 
- Market is VERY CHOPPY a.t.m.
- I expect volume &amp; volatility pickup.
- New daily ðŸ•¯ï¸ in 10 min. 
- #Bitcoin @  major level on HTF.
-  A BIG MOVE is coming ðŸ’¯

Potentially a SHAKEOUT coming before confirmation of direction â¬‡ï¸â¬†ï¸

ðŸ“£ USE CAUTIONâ€¼ï¸ (ðŸ‘€ my ðŸ“Š)","['BTC', 'Bitcoin']",Twitter for Android,False,2024-11-03
Naples Bitcoin + Blockchain Group,"Naples, FL","Bitcoin + blockchain meetup group in Naples, Florida. A #Bitcoin focused #blockchain friendly community for all, no matter where you are on your Web 3 journey.",72,162,250,False,#Bitcoinâ€¯â€¯â€¯ Day Naples 2024! Come see what a number 1 city feels like when surrounded by a bunch of bitcoiners! https://t.co/Q8mPYMJ3S1,['Bitcoin'],Twitter for Android,False,2024-05-28
Dan Moyer,,Owner Sportstrendz Limited-Family 1st- Avid Sports Fan/Memorabilia  Collector- Investor- Wine/Bourbon Enthusiast,24,130,1343,False,@PeterSchiff Hmmm guess what that can never happen to #Bitcoin,['Bitcoin'],Twitter for iPhone,False,2024-03-15
Melvin da Cat,Noumena,"e/acc - engineer and artist: Startups, Research, Machine Learning",619,5013,56007,False,.@repligate let's plug in Sydney to #Bitcoin's RNG ;),['Bitcoin'],Twitter Web App,False,2024-02-19
Only$ONEBitcoin.eth,Metaverse,#Bitcoin #BTC,129,649,8599,False,"Very soon #Bitcoin, $MARA $MSTR $COIN $RIOT https://t.co/HhyTSk2FMn",['Bitcoin'],Twitter Web App,False,2024-08-16
Ethereum Yoda,,"UP or DOWN...
.
.
.
.
Price matters NOT.",576,1,0,False,"#Ethereum price update: 

#ETH $1663.63 USD
#Bitcoin 0.07041042 #BTC

Follow for recent ETH price updates
#altcoin, #cryptocurrency, #crypto","['Ethereum', 'ETH', 'Bitcoin', 'BTC', 'altcoin', 'cryptocurrency', 'crypto']",Twitter Web App,False,2024-06-05
Live Price Crypto,,"I Tweet the latest #BTC/#ETH/#BNB/#MATIC & #StableCoins price
+Daily/Weekly Technical Indicators 

Live since 20/03/2022

@web3africa1",4463,9,24,False,"#Bitcoin Fear and Greed index

Current price is 23653 $

#BTC #Crypto

(16/16)
461039 https://t.co/7zmQr9Zq88","['Bitcoin', 'BTC', 'Crypto']",vaiotapi,False,2024-09-27
Bitcointik,,"#Bitcoin News, Insight & Commentary   â˜€ï¸  FREE â˜€ï¸

#Bitcointik HODL #BTC",4,2,24,False,"$BTC

Let's break this level and move up to $24,500

Please and thank you

#Crypto #Bitcoin #BTC #ETH #Ethereum #shib #doge #ALT #Coin #token #DeFi #Web3 #Bulls #NFTs #NFT #Airdrops #Airdrop https://t.co/RunA2Fgo32","['Crypto', 'Bitcoin', 'BTC', 'ETH', 'Ethereum', 'shib', 'doge', 'ALT', 'Coin', 'token', 'DeFi', 'Web3', 'Bulls', 'NFTs', 'NFT', 'Airdrops', 'Airdrop']",Twitter for Android,False,2024-08-26
Slunj,NOT FINANCIAL ADVICE,"Investor, #bitcoin optimist, wannabe #psytrance DJ.",1220,1602,1373,False,"Within a matter of weeks, #Bitcoin will be knocking on 30k and #Ethereum in the 2000s.

Most people will get caught sidelined.

Don't be one of them.","['Bitcoin', 'Ethereum']",Twitter Web App,False,2024-09-22
Michael Powacht,Bangkok,"Early #Bitcoin adopter and educator, Open Source software architect, Black Metal aficionado ðŸ¤˜ðŸŽ¸
https://t.co/hwb7y2EaSQ",108,94,3677,False,"Break from the shackles of fiat, say NO to CBDCs. 
#bitcoin and #Lightningâš¡ï¸ https://t.co/mXXzb86EC6","['bitcoin', 'Lightning']",Twitter Web App,False,2024-09-24
Q,United Kingdom,"Saitama/SaitaRealty Holder.
MaziMatic NFT Holder, Referral Code: maziarmyLeSRBRb9uj",3378,4710,59714,False,"#Saitama #SaitamaWolfPack #SaitaPro
#Crypto #CryptoCurrency #SaitaWolves #ETH #Bitcoin #PaperVillage
#SaitamaToken
#BESUMMIT #SaitaRealty #SAITAMACOMMUNITY #SaitamaLLC #MetaVerse #WeAreSaitama

#UseSaitaPro #NFT #NFTs #NFTCommunity #SaitaCard

ðŸ’œðŸºðŸ’œWOLFðŸºPACKðŸ’œðŸºðŸ’œ https://t.co/Hd2fQtYgWb","['Saitama', 'SaitamaWolfPack', 'SaitaPro', 'Crypto', 'CryptoCurrency', 'SaitaWolves', 'ETH', 'Bitcoin', 'PaperVillage', 'SaitamaToken', 'BESUMMIT', 'SaitaRealty', 'SAITAMACOMMUNITY', 'SaitamaLLC', 'MetaVerse', 'WeAreSaitama', 'UseSaitaPro', 'NFT', 'NFTs', 'NFTCommunity', 'SaitaCard']",Twitter for Android,False,2024-06-09
Data Metrics UG,,"Forecasting and analysis models with artificial intelligence for all major cryptocurrency metrics and trading signals.
Web: https://t.co/Ab0F4RF0TU | https://t.co/btgqITXxLC",11489,214,468,False,"ðŸ¤·â€â™‚ï¸ What if ðŸ¤·â€â™‚ï¸  How much money would you have today, if you had invested $500.00 in #Bitcoin-gold $BTG 1 years ago? Your investment today would have a value of $269.77 (-46.05%) ðŸ’°ðŸ’° | ðŸª™ =&gt; 15.60 #BTG | ðŸ‘ï¸  More: https://t.co/dczOLS1pfg https://t.co/nPkZN3w5kC","['Bitcoin', 'BTG']",CoinforecastTwitterTweeter,False,2024-07-15
Crypto is the future,,"I will post a lot of buying signals for BTC trading, so I hope that you block me. Drop all everything, Buy Bitcoin for the future I was together with you!",2198,189,16,False,"$BTC Going up signal on a 1 hour chart!
Price: \3237059.0 (2023/03/02 08:43)
#Bitcoin #FX #BTC #crypto","['Bitcoin', 'FX', 'BTC', 'crypto']",dlvr.it,False,2024-02-22
CJK,Free Market @ Internet Economy,Tweets on #Bitcoin as reserve asset of internet economy â€¢ Make Real Estate Great Again @PeoplesReserve A Market Maker for #WeThePeople $PRN â€¢ @btcFairValue,996,332,2722,False,"Economists warn recession is causing thousands of people to suddenly force higher prices

ðŸ¤¡ðŸŒŽ headlines in all industries
coming soon to finance â˜ï¸

#Bitcoin is truth, lets start there! https://t.co/9XNgBIFZ9l",['Bitcoin'],Twitter for Android,False,2024-08-19
Q,United Kingdom,"Saitama/SaitaRealty Holder.
MaziMatic NFT Holder, Referral Code: maziarmyLeSRBRb9uj",3378,4710,59714,False,"#Saitama #SaitamaWolfPack #SaitaPro
#Crypto #CryptoCurrency #SaitaWolves #ETH #Bitcoin #PaperVillage
#SaitamaToken
#BESUMMIT #SaitaRealty #SAITAMACOMMUNITY #SaitamaLLC #MetaVerse #WeAreSaitama

#UseSaitaPro #NFT #NFTs #NFTCommunity #SaitaCard

ðŸ’œðŸºðŸ’œWOLFðŸºPACKðŸ’œðŸºðŸ’œ https://t.co/N0JVkzK5UO","['Saitama', 'SaitamaWolfPack', 'SaitaPro', 'Crypto', 'CryptoCurrency', 'SaitaWolves', 'ETH', 'Bitcoin', 'PaperVillage', 'SaitamaToken', 'BESUMMIT', 'SaitaRealty', 'SAITAMACOMMUNITY', 'SaitamaLLC', 'MetaVerse', 'WeAreSaitama', 'UseSaitaPro', 'NFT', 'NFTs', 'NFTCommunity', 'SaitaCard']",Twitter for Android,False,2024-08-06
Crypto Volume,íœ´  ì‹  ë¦°,https://t.co/raykBUraVr,0,0,0,False,HookedProtocol HookedWalletðŸš¨target price: 50$ #Bitcoin #bnb #Gold #Hooked #HookedProtocol #Ethereum #ETH #TRX #WorldCup,"['Bitcoin', 'bnb', 'Gold', 'Hooked', 'HookedProtocol', 'Ethereum', 'ETH', 'TRX', 'WorldCup']",Twitter Web App,False,2024-04-01
